MSNA_time,BP,ECG,MSNA_v,MSNA_filt,MSNA_v_zeroed,MSNA_vjust
345,-9.375e-5,0.1169277,0.1137929,-4.801635858597187e-4,-1.5549355429133333e-4,0
345.04,-8.59375e-5,0.1956777,0.1114273,-7.791558851454098e-4,-0.0020096024334676785,0
345.08,-8.984375e-5,0.07627344,0.1145153,-7.423201483847268e-4,4.1058569793170146e-4,0
345.12,-9.375e-5,-0.1537129,0.1127482,-9.922806441248374e-4,-9.74662329162943e-4,0
345.16,-9.375e-5,-0.152168,0.11193,-0.001511525855916133,-0.0016163020703346446,0
345.2,-8.984375e-5,-0.1234062,0.1110553,-0.0017121264241926957,-0.002302482621226201,0
345.24,-9.765625e-5,-0.08639648,0.1123986,-0.001509262877725937,-0.0012505247570889057,0
345.28,-7.8125e-5,-0.06491992,0.1127544,-0.0012965894949904097,-9.727818547640602e-4,0
345.32,-9.375e-5,-0.06029297,0.1133277,-0.0016052811852984353,-5.2471278005964e-4,0
345.36,-7.8125e-5,-0.04192578,0.1109893,-0.002654276717709771,-0.0023589611814192712,0
345.4,-8.984375e-5,-0.03241992,0.1085787,-0.003965622392170598,-0.00425017357430728,0
345.44,-8.984375e-5,-0.03504883,0.1071879,-0.004805793333749019,-0.0053427224682257865,0
345.48,-9.375e-5,-0.02587305,0.1061788,-0.004460965239001293,-0.0061369328587030664,0
345.52,-8.203125e-5,0.03476953,0.1111654,-0.002893239179289381,-0.0022325918433053933,0
345.56,-8.59375e-5,0.006818359,0.114236,-0.0015739443314522297,1.6960673903408728e-4,0
345.6,-1.015625e-4,-0.04503906,0.1124183,-0.0014662782996134405,-0.00125969155692147,0
345.64,-8.59375e-5,0.1921211,0.1122396,-0.0021391098879806514,-0.0014045157356605013,0
345.68,-9.375e-5,0.6128516,0.1100279,-0.0032093523497100976,-0.0031430579484342442,0
345.72,-8.984375e-5,-0.1684336,0.1073357,-0.0039664456345407445,-0.005258719711701207,0
345.76,-7.421875e-5,-0.1504707,0.1091686,-0.003702699346221003,-0.0038283699574119135,0
345.8,-7.8125e-5,-0.07906641,0.1114481,-0.003066096607119767,-0.0020485729428774344,0
345.84,-7.03125e-5,0.0282168,0.1107879,-0.0029270637120388135,-0.0025732808831682853,0
345.88,-6.640625e-5,0.1736777,0.1096632,-0.0029919518048201325,-0.003462477349829623,0
345.92,-7.421875e-5,0.2317773,0.1093896,-0.0022889255974361585,-0.003685115539401219,0
345.96,-6.640625e-5,0.03941406,0.1134781,-4.7088521921313656e-4,-4.892555730899153e-4,0
346,-7.8125e-5,-0.1387109,0.1166582,0.001722557261332764,0.0019945094335557623,0
346.04,-8.203125e-5,-0.1204258,0.1191498,0.003540320793246563,0.003938932681226263,0
346.08,-7.03125e-5,-0.08405078,0.120011,0.004929822515760509,0.004606045738725337,0
346.12,-5.859375e-5,-0.07508789,0.1236973,0.005518692036527328,0.0074882424198141504,0
346.16,-6.640625e-5,-0.05167383,0.1199469,0.004776522978861198,0.004542623448853305,0
